id,label,f01|E:url[seminar],f02|#:text[abstract],f03|#:text[location],f04|#:text[LOCATION],f05|#:text[speaker],f06|#:text[SPEAKER],f07|#:text[date|time],f08|#:text[DATE|TIME],f09|#:tag[img],f10|#:text[tbc/tba],f11|#:tag[table],f12|#:url[neg_word],f13|#:text[seminar],f14|#ratio:text[LOCATION-TIME]
30938,-1,0,0,7,0,0,0,0,0,6,0,0,1,0,0
1463,-1,0,0,26,14,5,0,6,5,1,0,0,0,4,2
14556,-1,0,1,3,4,7,0,7,5,5,0,0,1,2,0
13455,-1,0,0,5,27,0,0,2,2,13,0,0,0,0,13
13575,-1,0,1,3,4,7,0,9,8,5,0,0,1,2,0
78189,-1,0,0,0,0,0,0,0,0,5,0,1,0,1,0
64552,-1,0,0,8,5,0,1,9,4,3,0,0,0,0,1
12954,-1,1,0,2,0,9,18,7,24,1,0,1,0,6,0
32156,-1,0,1,7,0,2,0,1,0,1,0,0,0,0,0
48840,-1,3,1,2,0,0,8,0,21,1,0,0,0,22,0
6959,-1,0,1,0,1,0,0,2,3,1,0,0,0,0,0
1495,-1,0,0,4,2,0,0,0,0,1,0,0,0,1,2
2028,-1,0,0,2,3,0,0,3,3,2,0,0,0,1,1
32373,-1,0,0,3,0,0,0,1,0,5,0,1,0,0,0
5844,-1,0,0,0,1,0,0,1,5,5,0,0,0,2,0
13358,-1,0,1,3,5,7,0,10,10,5,0,0,1,2,0
8124,-1,0,1,0,0,1,0,1,0,12,0,0,0,0,0
78227,-1,0,0,0,0,0,0,1,0,5,0,1,0,1,0
35850,-1,1,0,0,0,1,0,0,0,3,0,3,0,12,0
76888,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23412,-1,0,0,1,0,2,0,0,1,2,0,0,1,0,0
11404,-1,1,0,6,3,0,0,12,0,2,0,0,0,4,3
12761,-1,0,1,34,4,33,6,31,50,26,0,0,0,6,0
3967,-1,0,0,1,2,3,0,0,3,1,0,0,1,3,0
111181,-1,0,0,1,0,0,1,0,1,0,0,0,0,4,0
109105,-1,0,1,1,0,1,6,3,24,21,0,1,0,3,0
13253,-1,0,1,4,8,8,0,8,4,6,0,0,1,2,2
57211,-1,0,0,26,104,1,1,16,0,7,0,1,0,1,104
63584,-1,0,0,14,14,1,0,6,0,5,0,0,0,3,14
67783,-1,0,0,1,2,0,0,2,2,4,0,0,0,6,1
14021,-1,0,1,7,11,7,0,7,8,5,0,0,1,2,1
21416,-1,0,1,5,3,5,0,1,0,4,0,0,0,0,3
114950,-1,1,0,17,13,0,0,0,1,6,0,3,0,6,13
69664,-1,1,0,0,0,0,0,1,0,8,0,0,0,5,0
13248,-1,0,1,4,14,8,0,9,14,9,0,0,1,4,1
11062,-1,3,0,18,8,1,0,3,8,18,0,1,0,28,1
94407,-1,0,0,0,0,0,0,1,0,9,0,0,0,0,0
95603,-1,0,0,4,0,0,0,2,1,1,0,0,0,1,0
13543,-1,0,1,3,4,7,0,8,8,5,0,0,1,2,0
14249,-1,0,1,3,4,7,0,7,4,5,0,0,1,2,1
77113,-1,0,0,2,0,0,1,1,0,0,0,0,0,0,0
19744,-1,0,0,0,3,0,0,3,7,1,0,1,0,1,0
58696,-1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
25405,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3423,-1,0,1,3,2,11,0,6,0,7,0,0,1,6,2
662,-1,0,0,13,7,0,0,4,0,5,0,0,0,9,7
11558,-1,0,0,3,0,0,0,12,0,3,0,0,0,0,0
31272,-1,0,2,42,11,32,4,44,50,29,0,0,0,16,0
32524,-1,0,6,2,0,0,10,1,2,1,0,0,0,0,0
11064,-1,3,0,1,0,0,0,1,0,18,0,0,0,20,0
108714,-1,0,0,2,0,1,2,2,1,2,0,0,0,3,0
78204,-1,0,0,0,0,1,0,0,0,12,0,0,0,1,0
26589,-1,0,0,4,0,3,0,0,1,5,0,0,1,0,0
70465,-1,2,0,0,0,0,0,0,1,1,0,0,0,7,0
70464,-1,2,0,0,0,0,0,0,1,1,0,0,0,9,0
105771,-1,0,0,0,0,0,1,1,0,3,0,0,0,0,0
31199,-1,0,0,0,0,3,0,0,0,3,0,0,0,1,0
3712,-1,0,1,3,0,1,1,0,3,10,0,0,1,9,0
82084,-1,0,0,8,1,268,0,6,3,0,0,1,0,0,0
24143,-1,0,1,4,2,2,2,1,29,7,0,0,1,2,0
14385,-1,0,2,12,7,15,0,8,8,5,0,0,1,2,0
6826,-1,0,0,2,0,0,0,0,0,2,0,3,0,0,0
11044,-1,1,0,1,0,1,1,2,1,9,0,1,0,5,0
95233,-1,0,0,1,0,0,0,0,1,10,0,0,0,0,0
7164,-1,0,0,1,0,14,11,4,2,5,0,0,0,1,0
58449,-1,0,3,0,1,0,0,0,0,1,0,1,0,2,1
5471,-1,0,0,1,0,0,0,3,5,3,0,4,0,1,0
12767,-1,0,1,34,4,33,6,31,50,26,0,0,0,6,0
111539,-1,0,0,2,0,0,0,0,0,6,0,0,0,0,0
12790,-1,1,0,15,17,2,10,1,16,7,0,0,0,19,1
35834,-1,1,0,0,0,1,0,0,0,3,0,3,0,13,0
13304,-1,0,1,3,4,7,0,8,4,5,0,0,1,2,1
14168,-1,0,1,4,9,9,0,8,5,5,0,0,1,2,1
13624,-1,0,1,3,4,7,0,7,4,10,0,0,1,2,1
12946,-1,0,0,0,0,1,0,1,3,4,0,0,0,5,0
13046,-1,0,1,5,9,7,0,7,10,5,0,0,1,2,0
46473,-1,0,27,6,5,21,11,8,0,13,0,0,0,5,5
13702,-1,0,1,3,5,7,0,9,8,9,0,0,1,2,0
60150,-1,0,0,3,2,0,0,8,0,2,0,0,0,3,2
14100,-1,0,1,21,34,11,0,13,32,16,0,0,1,2,1
24132,-1,0,1,3,2,2,2,1,28,11,0,0,1,2,0
22497,-1,0,0,1,0,1,0,0,1,1,0,0,1,0,0
2834,-1,0,0,0,1,0,0,2,1,5,0,1,0,3,1
32159,-1,0,0,3,0,0,0,1,0,6,0,1,0,0,0
9710,-1,0,0,1,0,0,0,2,0,6,0,0,0,0,0
31637,-1,0,0,0,0,1,0,1,2,0,0,0,1,0,0
30986,-1,0,0,2,0,1,0,0,0,3,0,0,1,0,0
33207,-1,0,2,2,2,7,1,13,1,0,0,0,0,1,2
117652,-1,1,0,11,6,3,0,0,0,3,0,0,0,8,6
117788,-1,0,0,5,3,0,0,0,0,3,0,0,0,0,3
26635,-1,0,0,0,0,2,0,0,1,0,0,0,1,0,0
33066,-1,0,0,1,0,0,1,0,0,5,0,0,0,0,0
113477,-1,1,0,6,3,0,0,12,0,2,0,0,0,4,3
3259,-1,0,1,2,3,7,0,9,2,25,0,0,1,6,1
26166,-1,0,0,0,0,0,0,1,0,6,0,0,0,4,0
32473,-1,0,6,2,0,0,11,1,2,0,0,0,0,0,0
39977,-1,0,0,10,13,2,0,11,0,8,0,0,0,10,13
81854,-1,0,0,18,13,32,10,24,4,0,0,1,0,1,3
25728,-1,0,0,2,0,0,0,0,1,39,0,8,0,3,0
13694,-1,0,1,3,5,7,0,9,8,9,0,0,1,2,0
32353,-1,0,0,3,8,2,1,2,2,2,0,0,0,0,4
15384,-1,0,0,0,0,0,0,0,0,22,0,0,0,1,0
63260,-1,0,0,9,8,1,0,1,1,1,0,0,0,6,8
63717,-1,1,0,6,5,0,0,7,1,3,0,0,0,2,5
48894,-1,1,2,5,15,4,2,6,1,2,0,0,0,21,15
3677,-1,0,1,2,0,2,1,0,0,17,0,0,1,5,0
22800,-1,0,0,5,2,3,0,3,1,1,0,0,1,2,2
99202,-1,1,0,3,2,0,0,0,3,12,0,1,0,15,0
32350,-1,0,0,2,0,0,0,1,0,1,0,0,0,0,0
99455,-1,0,2,1,0,3,0,0,2,1,0,0,0,4,0
32342,-1,0,0,2,0,1,0,2,0,1,0,0,0,0,0
32377,-1,0,0,3,8,2,1,2,2,1,0,0,0,0,4
38182,-1,0,0,10,13,2,0,11,0,8,2,0,0,10,13
95178,-1,0,0,4,0,0,0,0,0,2,0,0,0,0,0
94698,-1,0,0,1,1,1,10,5,0,24,0,7,0,0,1
69725,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3709,-1,0,1,2,0,1,0,0,0,18,0,0,1,5,0
