id,label,f01|E:url[seminar],f02|#:text[abstract],f03|#:text[location],f04|#:text[LOCATION],f05|#:text[speaker],f06|#:text[SPEAKER],f07|#:text[date|time],f08|#:text[DATE|TIME],f09|#:tag[img],f10|#:text[tbc/tba],f11|#:tag[table],f12|#:url[neg_word],f13|#:text[seminar]
77141,-1,0,0,4,2,0,1,1,4,0,0,0,0,0
77159,-1,0,0,2,0,0,0,1,0,2,0,0,0,0
77535,-1,0,0,11,0,2,0,16,0,3,0,1,0,0
77566,-1,0,1,11,0,0,0,15,0,3,0,1,0,0
77613,2,1,0,4,3,1,0,1,0,3,0,1,0,9
77615,2,1,0,9,7,1,0,1,0,3,0,1,0,16
77617,2,1,0,23,20,4,8,1,1,3,8,1,0,36
78020,-1,0,0,0,1,0,3,3,0,7,0,0,0,0
78174,-1,0,0,0,0,1,0,0,0,9,0,0,0,1
78200,-1,0,0,0,0,0,0,1,0,4,0,0,0,1
